"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",1
"40",0
"41",0
"42",0
"43",0
"44",0
"45",1
"46",0
"47",1
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",1
"55",1
"56",1
"57",1
"58",4
"59",0
"60",3
"61",2
"62",7
"63",6
"64",9
"65",7
"66",5
"67",11
"68",20
"69",10
"70",18
"71",18
"72",21
"73",29
"74",33
"75",35
"76",48
"77",38
"78",40
"79",62
"80",60
"81",64
"82",67
"83",79
"84",85
"85",105
"86",110
"87",132
"88",115
"89",153
"90",167
"91",206
"92",179
"93",241
"94",240
"95",255
"96",296
"97",273
"98",353
"99",356
"100",346
"101",430
"102",449
"103",507
"104",525
"105",576
"106",591
"107",684
"108",688
"109",750
"110",762
"111",805
"112",883
"113",998
"114",958
"115",1053
"116",1113
"117",1207
"118",1277
"119",1392
"120",1383
"121",1481
"122",1561
"123",1592
"124",1644
"125",1792
"126",1805
"127",1905
"128",2064
"129",2086
"130",2249
"131",2294
"132",2306
"133",2460
"134",2572
"135",2703
"136",2910
"137",2912
"138",3093
"139",3122
"140",3199
"141",3311
"142",3479
"143",3644
"144",3771
"145",3809
"146",3861
"147",4071
"148",4214
"149",4259
"150",4300
"151",4450
"152",4593
"153",4909
"154",4842
"155",5085
"156",5139
"157",5215
"158",5439
"159",5339
"160",5602
"161",5555
"162",5793
"163",5846
"164",6132
"165",6181
"166",6262
"167",6425
"168",6518
"169",6540
"170",6628
"171",6825
"172",6957
"173",7084
"174",7096
"175",7333
"176",7416
"177",7474
"178",7428
"179",7695
"180",7642
"181",7635
"182",7922
"183",7867
"184",7964
"185",7941
"186",8329
"187",8236
"188",8358
"189",8511
"190",8387
"191",8404
"192",8528
"193",8440
"194",8477
"195",8801
"196",8825
"197",8536
"198",8706
"199",8634
"200",8680
"201",8796
"202",8692
"203",8757
"204",8804
"205",8696
