State,Poll,Source,Start Date,End Date,Sample Size,Sample Type,MoE,Biden,Trump
Virginia,Christopher Newport Univ.,https://cnu.edu/wasoncenter/surveys/2020-09-24/,2020-09-09 00:00:00,2020-09-21 00:00:00,796,LV,3.3,48.0,43.0
Virginia,VCU,https://oppo.vcu.edu/media/oppo/September2020Release1final.pdf,2020-08-28 00:00:00,2020-09-07 00:00:00,693,LV,6.2,53.0,39.0
Virginia,Roanoke College,https://www.roanoke.edu/about/news/rc_poll_politics_aug_2020,2020-08-09 00:00:00,2020-08-22 00:00:00,566,LV,4.1,53.0,39.0
Virginia,VCU,https://drive.google.com/file/d/13wln9QQfSmCV989SKli8CctsbVgx7Ien/view,2020-07-11 00:00:00,2020-07-19 00:00:00,725,LV,6.2,50.0,39.0
Virginia,Roanoke College,https://www.roanoke.edu/about/news/rc_poll_politics_may_2020,2020-05-03 00:00:00,2020-05-17 00:00:00,563,LV,4.1,51.0,39.0
Virginia,VCU,https://drive.google.com/file/d/1AqGAm2-OgF5nP6--TsNavnVAgas55jTJ/view,2020-03-25 00:00:00,2020-04-08 00:00:00,663,LV,5.7,51.0,41.0
Virginia,Hampton University,http://news.hamptonu.edu/release/Nationally-Recognized-Hampton-University-Center-for-Public-Policy%27s-Latest-Poll-Shows-Joe-Biden-Leads-Democratic-Presidential-Nominees-Ahead-of-Super-Tuesday,2020-02-25 00:00:00,2020-02-28 00:00:00,768,RV,3.8,45.0,38.0
Virginia,Roanoke College,https://www.roanoke.edu/about/news/rc_poll_news_politics_feb_2020,2020-02-09 00:00:00,2020-02-18 00:00:00,520,LV,4.3,48.0,40.0
Virginia,Mason-Dixon,https://www.realclearpolitics.com/docs/2019/Mason_Dixon_Virginia_December_2019.pdf,2020-12-12 00:00:00,2020-12-16 00:00:00,625,RV,4.0,49.0,45.0
Virginia,Univ. of Mary Washington,https://www.umw.edu/news/2019/09/27/biden-leads-democratic-nomination-in-virginia-umw-survey-finds/,2020-09-03 00:00:00,2020-09-15 00:00:00,882,RV,3.3,55.0,38.0
Maine CD2,Bangor Daily News*,https://drive.google.com/file/d/1rgOpdiCIcbEBjnt2pVvQO7ztkbfsNB90/view,2020-09-25 00:00:00,2020-10-04 00:00:00,234,LV,,41.0,49.0
Maine CD2,Colby College,http://www.colby.edu/government/2020-polling/,2020-09-17 00:00:00,2020-09-23 00:00:00,425,LV,,46.0,43.0
Maine CD2,Boston Globe/Suffolk*,https://www.realclearpolitics.com/docs/2020/Suffolk_Maine_September_2020.pdf,2020-09-17 00:00:00,2020-09-20 00:00:00,233,LV,,47.0,45.0
Maine CD2,NY Times/Siena,https://int.nyt.com/data/documenttools/az-me-nc-0920-crosstabs/72d074246b272695/full.pdf,2020-09-11 00:00:00,2020-09-16 00:00:00,440,LV,,47.0,45.0
Maine CD2,Quinnipiac,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,2020-09-10 00:00:00,2020-09-14 00:00:00,,LV,,53.0,44.0
Maine CD2,Bangor Daily News,https://drive.google.com/file/d/1QvLIr-Xi1OsOA_Ulz6jtWJnCZSN-1JyH/view,2020-07-28 00:00:00,2020-08-09 00:00:00,249,RV,,39.0,38.0
Maine CD2,Quinnipiac,https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3670,2020-07-30 00:00:00,2020-08-03 00:00:00,,RV,,44.0,45.0
Maine CD2,Colby College,http://www.colby.edu/government/2020-polling/,2020-07-18 00:00:00,2020-06-24 00:00:00,449,LV,,45.0,42.0
Maine CD2,PPP (D),https://www.publicpolicypolling.com/wp-content/uploads/2019/10/PPP_Release_ME_101519.pdf,2020-10-11 00:00:00,2020-10-13 00:00:00,461,LV,,49.0,46.0
Vermont,Vermont Public Radio,http://projects.vpr.org/vpr-vermont-pbs-2020-polls-september,2020-09-03 00:00:00,2020-09-15 00:00:00,586,LV,4.0,56.0,32.0
California,KGTV-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=d15fdb0d-701d-495c-a67f-e17bfcc3bf92,2020-09-26 00:00:00,2020-09-28 00:00:00,588,LV,5.3,59.0,32.0
California,Berkeley IGS,https://escholarship.org/uc/item/51x5s5v6,2020-09-09 00:00:00,2020-09-15 00:00:00,5942,LV,2.0,67.0,28.0
California,PPIC*,https://www.ppic.org/wp-content/uploads/ppic-statewide-survey-californians-and-their-government-september-2020.pdf,2020-09-04 00:00:00,2020-09-13 00:00:00,1168,LV,4.3,60.0,31.0
California,Berkeley IGS,https://www.latimes.com/politics/story/2020-08-04/trumps-base-erodes-new-poll-california,2020-07-21 00:00:00,2020-07-27 00:00:00,6756,LV,2.0,67.0,28.0
California,PPIC,https://www.ppic.org/wp-content/uploads/ppic-statewide-survey-californians-and-their-government-may-2020.pdf,2020-05-17 00:00:00,2020-05-26 00:00:00,1048,LV,4.6,57.0,33.0
California,KGTV-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=4b9bd0e5-3f07-4da9-b86f-370c0255240e,2020-05-18 00:00:00,2020-05-19 00:00:00,537,LV,5.4,58.0,30.0
California,Emerson,https://emersonpolling.reportablenews.com/pr/ohio-texas-and-california-2020-trump-with-narrow-leads-in-ohio-and-texas-but-has-widespread-expectation-of-being-re-elected,2020-05-08 00:00:00,2020-05-10 00:00:00,800,RV,3.4,59.0,29.0
California,CNN,https://cdn.cnn.com/cnn/2020/images/02/28/rel1_tx.pdf,2020-02-22 00:00:00,2020-02-26 00:00:00,1003,RV,3.0,60.0,35.0
